"filename", "language", "CSS", "JavaScript", "XML", "JavaScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\UserDetails.jsx", "JavaScript JSX", 0, 0, 0, 204, 0, 0, 9, 213
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\UserList.jsx", "JavaScript JSX", 0, 0, 0, 85, 0, 0, 5, 90
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\UserModal.jsx", "JavaScript JSX", 0, 0, 0, 178, 0, 0, 7, 185
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\Contact.module.css", "CSS", 65, 0, 0, 0, 0, 0, 4, 69
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\DepartmentCost.module.css", "CSS", 63, 0, 0, 0, 0, 0, 2, 65
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\Settings.module.css", "CSS", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\User.module.css", "CSS", 61, 0, 0, 0, 0, 0, 5, 66
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\UserDetails.module.css", "CSS", 89, 0, 0, 0, 0, 0, 6, 95
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\UserList.module.css", "CSS", 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\css\UserModal.module.css", "CSS", 70, 0, 0, 0, 0, 4, 7, 81
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\service\departmentCostManager.js", "JavaScript", 0, 31, 0, 0, 0, 0, 4, 35
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\service\userManager.js", "JavaScript", 0, 73, 0, 0, 0, 1, 7, 81
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\service\validationSchema\departmentCostValidationSchema.js", "JavaScript", 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\service\validationSchema\userModalValidationSchema.js", "JavaScript", 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\service\validationSchema\userUpdateModalValidationSchema.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\settings\service\validationSchema\userValidationSchema.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\SupplierForm.jsx", "JavaScript JSX", 0, 0, 0, 305, 0, 0, 13, 318
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\SupplierItem.jsx", "JavaScript JSX", 0, 0, 0, 94, 0, 0, 10, 104
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\SupplierList.jsx", "JavaScript JSX", 0, 0, 0, 98, 0, 0, 6, 104
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\css\SupplierForm.module.css", "CSS", 75, 0, 0, 0, 0, 0, 7, 82
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\css\SupplierItem.module.css", "CSS", 116, 0, 0, 0, 0, 0, 10, 126
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\css\SupplierList.module.css", "CSS", 35, 0, 0, 0, 0, 4, 3, 42
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\service\supplierManager.js", "JavaScript", 0, 60, 0, 0, 0, 0, 4, 64
